Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie des Franches-Montagnes,Saignelgier,CuvÃ©e du 7Ã¨me,?,?,?,?
Brauerei Hrlimann,Zrich,Hexen BrÃ¤u,?,?,?,german_lager|traditional_german_style_bock
Brauerei Locher AG,Appenzell,Leermond Bier,?,?,?,?
Brauerei Schtzengarten,Sankt-Gallen,St. Galler Landbier,?,?,?,?
Brauhaus Sternen,Frauenfeld,Honey Brown Ale,6%,?,?,north_american_lager|american_style_lager
Brauhaus Sternen,Frauenfeld,Huusbier Hell,4.6%,?,?,?
Brauhaus Sternen,Frauenfeld,Huusbier Schwarz,4.5%,?,?,irish_ale|porter
Brauhaus Sternen,Frauenfeld,Oktoberfest,?,?,?,german_ale|south_german_style_weizenbock
Brauhaus Sternen,Frauenfeld,Weizentrumpf,5.5%,?,?,german_ale|south_german_style_hefeweizen
Gasthof-Brauerei zum Frohsinn,Arbon,Dunkel,?,?,?,?
Gasthof-Brauerei zum Frohsinn,Arbon,Hell,?,?,?,?
Gasthof-Brauerei zum Frohsinn,Arbon,Maisbier,?,?,?,?
Gasthof-Brauerei zum Frohsinn,Arbon,Weizenbier,?,?,?,german_ale|south_german_style_hefeweizen
Heineken Switzerland,Winterthur,Original Ittinger KlosterbrÃ¤u,?,?,?,north_american_lager|american_style_lager
Lwenbru Zrich,Zrich,LÃ¶wen Weisse,?,?,?,german_ale|south_german_style_hefeweizen
Steinfels Back & Brau,Zrich,Altbier,?,?,?,north_american_ale|american_style_brown_ale
Steinfels Back & Brau,Zrich,Herbstbier,?,?,?,german_lager|german_style_schwarzbier
Steinfels Back & Brau,Zrich,Huusbier,?,?,?,?
Wdi-Bru-Huus,Wdenswil,Blond,4.8%,?,?,?
Wdi-Bru-Huus,Wdenswil,Dunkel,4.8%,?,?,?
Wdi-Bru-Huus,Wdenswil,Hanf,5%,?,?,?
Wdi-Bru-Huus,Wdenswil,Hell,4.8%,?,?,?
Wdi-Bru-Huus,Wdenswil,Single-Malt-Bier,?,?,?,north_american_lager|american_style_lager
Wdi-Bru-Huus,Wdenswil,Ur-Pils,5.1%,?,?,?
Wdi-Bru-Huus,Wdenswil,Ur-Weizen,5%,?,?,german_ale|south_german_style_hefeweizen
