Brewery,City,Name,Abv,Ibu,Srm,Tags
Adnams & Co.,Southwold,Adnam's Suffolk Special Bitter,4.5%,?,?,british_ale|extra_special_bitter
Adnams & Co.,Southwold,Adnams Explorer,5.5%,?,?,british_ale|ordinary_bitter
Adnams & Co.,Southwold,Adnams Fisherman,4.5%,?,?,north_american_ale|american_style_amber_red_ale
Adnams & Co.,Southwold,Adnams Tally Ho,7.5%,?,?,north_american_ale|american_style_barley_wine_ale
Adnams & Co.,Southwold,Broadside Ale,6.3%,?,?,british_ale|extra_special_bitter
Adnams & Co.,Southwold,Nut Brown Ale,3.2%,?,?,north_american_ale|american_style_brown_ale
Bass Brewers,Burton-upon-Trent,Ale,?,?,?,?
Bass Brewers,Burton-upon-Trent,Bass Pale Ale,5%,?,?,british_ale|classic_english_style_pale_ale
Black Sheep Brewery,Ripon,Ale,4.4%,?,?,?
Black Sheep Brewery,Ripon,Riggwelter Yorkshire Ale,5.7%,?,?,?
Boddington's Brewery,Manchester,Pub Ale Draught,?,?,?,?
BrewDog Ltd,Fraserburgh,77 Lager,4.9%,?,?,german_lager|german_style_pilsener
BrewDog Ltd,Fraserburgh,Dogma,7.8%,?,?,other_style|herb_and_spice_beer
BrewDog Ltd,Fraserburgh,Hardcore IPA,9%,?,?,north_american_ale|imperial_or_double_india_pale_ale
BrewDog Ltd,Fraserburgh,Hop Rocker,5.5%,?,?,north_american_lager|american_style_lager
BrewDog Ltd,Fraserburgh,Paradox Speyside,10%,?,?,north_american_ale|american_style_imperial_stout
BrewDog Ltd,Fraserburgh,Punk IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
BrewDog Ltd,Fraserburgh,Rip Tide,8%,?,?,north_american_ale|american_style_imperial_stout
BrewDog Ltd,Fraserburgh,Tactical Nuclear Penguin,32%,?,?,north_american_ale|american_style_imperial_stout
BrewDog Ltd,Fraserburgh,The Physics,5%,?,?,british_ale|extra_special_bitter
BrewDog Ltd,Fraserburgh,Tokyo,12%,?,?,north_american_ale|american_style_imperial_stout
BrewDog Ltd,Fraserburgh,Tokyo*,18.2%,?,?,north_american_ale|american_style_imperial_stout
BrewDog Ltd,Fraserburgh,Trashy Blonde,4.1%,?,?,british_ale|special_bitter_or_best_bitter
Bulmer Cider,Hereford,Strongbow Cider,5.3%,?,?,other_style|fruit_beer
Burton Bridge Brewery,Burton-upon-Trent,Burton Porter,?,?,?,irish_ale|porter
Burton Bridge Brewery,Burton-upon-Trent,Empire India Pale Ale,7.5%,?,?,british_ale|english_style_india_pale_ale
Burton Bridge Brewery,Burton-upon-Trent,Olde Expensive Ale,?,?,?,british_ale|old_ale
Burton Bridge Brewery,Burton-upon-Trent,Thomas Sykes Barleywine,?,?,?,?
Cains,Liverpool,2008 Culture Beer,5%,?,?,british_ale|ordinary_bitter
Cains,Liverpool,Dark Mild,3.2%,?,?,british_ale|english_style_dark_mild_ale
Cains,Liverpool,FA,4.8%,?,?,british_ale|special_bitter_or_best_bitter
Cains,Liverpool,Finest Bitter,4%,?,?,british_ale|ordinary_bitter
Cains,Liverpool,IPA,3.5%,?,?,british_ale|english_style_india_pale_ale
Camerons Brewery Company,Harltepool,Long Leg English Fuggles Hop Ale,?,?,?,?
Charles Wells Ltd.,Bedford,Bombardier Premium Ale,5.2%,?,?,?
Coniston Brewing,Coniston,Old Man Ale,4.8%,?,?,?
Coniston Brewing,Coniston,Premium XB Bluebird Bitter,4.4%,?,?,?
Courage Brewery,Tadcaster,John Courage Amber,?,?,?,?
Daleside Brewery,Harrogate,Monkey Wrench Dark Ale,5.3%,?,?,irish_ale|porter
Daleside Brewery,Harrogate,Morocco Ale,5.5%,?,?,?
Daleside Brewery,Harrogate,Old Legover,4.1%,?,?,?
Daleside Brewery,Harrogate,Ripon Jewel Ale,5.8%,?,?,north_american_ale|american_style_pale_ale
Eldridge | Pope and Co.,Dorchester,Royal Oak Pale Ale,?,?,?,?
Elgood & Sons,Wisbech,Flag Porter 1825 Original,?,?,?,irish_ale|porter
Elgood & Sons,Wisbech,Norvig Ale,?,?,?,?
Federation Brewery,Gateshead,Angel Ale,?,?,?,british_ale|english_style_pale_mild_ale
Federation Brewery,Gateshead,Northumbrian Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Frederic Robinson Ltd.,Stockport,Double Hop Premium Ale,?,?,?,?
Frederic Robinson Ltd.,Stockport,Northern Glory Premium Ale,?,?,?,?
Frederic Robinson Ltd.,Stockport,Old Tom Barley Wine,8.5%,?,?,?
Freeminer Brewery,Cinderford,Deep Shaft Stout,6.2%,?,?,north_american_ale|american_style_stout
Freeminer Brewery,Cinderford,Trafalgar IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Fuller | Smith & Turner PBC,London,1845 Celebration Ale,?,?,?,?
Fuller | Smith & Turner PBC,London,Fuller's ESB,4.5%,?,?,british_ale|extra_special_bitter
Fuller | Smith & Turner PBC,London,India Pale Ale,4.8%,?,?,north_american_ale|american_style_pale_ale
Fuller | Smith & Turner PBC,London,London Porter,5.4%,?,?,irish_ale|porter
Fuller | Smith & Turner PBC,London,London Pride,4.7%,?,?,?
Fuller | Smith & Turner PBC,London,Refreshing Summer Ale,3.9%,?,?,?
Fuller | Smith & Turner PBC,London,Vintage Ale 1999,8.5%,?,?,british_ale|old_ale
Fuller | Smith & Turner PBC,London,Vintage Ale 2008,8.5%,?,?,british_ale|old_ale
George Bateman and Son Ltd.,Skegness,Victory Ale,5.2%,?,?,?
