Name,Address,City,State,Code,Website
Arthur Guinness & Son,St. James's Gate,Dublin,?,?,?
Beamish & Crawford,South Main Street,Cork,?,?,?
Biddy Early Brewery,Inagh,Ennis,?,?,?
Carlow Brewing Company,The Goods Store | Station Road,Carlow,?,?,?
Dublin Brewing,?,Dublin,?,?,?
Heineken Ireland,Lady's Well Brewery,Cork,?,?,?
Irish Brewing Company,Newbridge Industrial Estate,Newbridge,?,?,?
St. Francis Abbey Brewery,?,Kilkenny,?,?,?
St. James's Gate Brewery,?,Dublin,?,?,?
Strangford Lough Brewing Company Ltd,Braidleigh Lodge 22 Shore Road,Killyleagh,County Down,BT30 9UE,?
