Name,Address,City,State,Code,Website,Tags
Barley Mill Brew Pub,?,Regina,SK,?,barleymill.ca,brewpub
Beily's Ultralounge,?,Saskatoon,SK,?,www.beilys.ca,brewpub
Bin Brewing,?,Swift Current,SK,?,binbrewing.com,brewery
Bonzzini's Brew Pub,?,Regina,SK,?,?,brewpub
Brewster's Brewing Co. & Restaurant,?,Regina,SK,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Regina,SK,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Regina,SK,?,brewsters.ca,brewpub_chain
Buffalo Brew Pub,?,Swift Current,SK,?,?,brewpub
Bushwakker Brewing,?,Regina,SK,?,www.bushwakker.com,brewpub
Canadian Brewery,?,Saskatoon,SK,,?,?
Chillers Brew Pub,?,Moose Jaw,SK,?,www.chillersbrewpub.ca,brewpub
Clark's Crossing Brew Pub,?,Saskatoon,SK,?,?,brewpub
Creekside Pub & Brewery,?,Regina,SK,?,www.creeksidebrewpub.com,brewpub
District Brewing,?,Regina,SK,?,districtbrewing.ca,brewery
Fox & Hounds Pub & Brewery,?,Saskatoon,SK,?,?,brewpub
Gaebels Brewhouse & Off Sale,?,Regina,SK,?,?,brewpub
Hose & Hydrant Brew Pub,?,Saskatoon,SK,?,www.hoseandhydrant.com,brewpub
Last Straw Brew Pub,?,Regina,SK,?,laststrawbrewpub.com,brewpub
Maguires Irish Pub & Brewery,?,Saskatoon,SK,?,www.maguiresbrewpub.com,brewpub
Paddock Wood Brewing Co.,?,Saskatoon,SK,?,www.paddockwood.com,brewery
Prairie Sun Brewing,?,Saskatoon,SK,?,www.prairiesun.ca,brewery
Slow Food Pub,?,Regina,SK,?,slowpub.com/wordpress,brewpub
Specklebelly's Brew Pub,?,Saskatoon,SK,?,www.specklebellys.com,brewpub
The Tap Brewing Co. & Eatery Inc.,?,Regina,SK,?,www.thetap.ca,brewpub
