Brewery,City,Name,Abv,Ibu,Srm,Tags
Black Creek Historic Brewery,Toronto,Black Creek Porter,?,?,?,other_style|smoke_beer
Brick Brewing,Formosa,Premium Lager,?,?,?,north_american_lager|american_style_lager
Brick Brewing,Formosa,Waterloo Dark,?,?,?,north_american_lager|american_style_lager
Cameron's Brewing,Oakville,Auburn Ale,5%,?,?,north_american_ale|american_style_amber_red_ale
Gold Crown Brewing,Waterloo,Kings Pilsener,5%,?,?,?
Gold Crown Brewing,Waterloo,Premium Lager,5.3%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Canadian Ale,?,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Genuine Honey Lager,5%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Genuine Lager,5%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Labatt 50,5%,?,?,north_american_ale|american_style_pale_ale
Labatt Ontario Breweries,London,Labatt Bleue Dry,6.1%,?,?,german_lager|german_style_pilsener
Labatt Ontario Breweries,London,Labatt Blue,4.7%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Labatt Blue Light,4%,?,?,north_american_lager|american_style_light_lager
Labatt Ontario Breweries,London,Labatt Crystal,5%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Labatt Extra Dry,5.5%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Labatt Ice,5.6%,?,?,north_american_lager|american_style_lager
Labatt Ontario Breweries,London,Labatt Sterling,4%,?,?,north_american_lager|american_style_light_lager
Labatt Ontario Breweries,London,Labatt Wildcat,4.9%,?,?,north_american_lager|american_style_lager
Lwenbru Munich,Toronto,Premium Dark,?,?,?,?
Lwenbru Munich,Toronto,Premium Lager,?,?,?,?
Molson Breweries of Canada,Toronto,Carling,4.1%,?,?,north_american_lager|american_style_lager
Molson Breweries of Canada,Toronto,Full Moon Winter Ale,5.6%,?,?,belgian_and_french_ale|other_belgian_style_ales
Molson Breweries of Canada,Toronto,Golden,?,?,?,north_american_lager|american_style_lager
Molson Breweries of Canada,Toronto,Ice,?,?,?,north_american_lager|american_style_lager
Molson Breweries of Canada,Toronto,Molson Canadian,5%,?,?,north_american_lager|american_style_lager
Molson Breweries of Canada,Toronto,Red Jack,5%,?,?,north_american_ale|american_style_amber_red_ale
Molson Breweries of Canada,Toronto,Rickard's Pale Ale,?,?,?,north_american_ale|american_style_india_pale_ale
Molson Breweries of Canada,Toronto,Rickard's Red Ale,?,?,?,irish_ale|irish_style_red_ale
Molson Breweries of Canada,Toronto,Rickard's White Ale,?,?,?,belgian_and_french_ale|belgian_style_white
Niagara Falls Brewing,Niagara Falls,Apple Ale,?,?,?,other_style|light_american_wheat_ale_or_lager
Niagara Falls Brewing,Niagara Falls,Best Bitter,?,?,?,?
Niagara Falls Brewing,Niagara Falls,Eisbock,?,?,?,german_lager|traditional_german_style_bock
Niagara Falls Brewing,Niagara Falls,Gritstone Premium Ale,?,?,?,north_american_ale|american_style_brown_ale
Niagara Falls Brewing,Niagara Falls,Kriek,?,?,?,other_style|light_american_wheat_ale_or_lager
Niagara Falls Brewing,Niagara Falls,Maple Wheat,?,?,?,?
Niagara Falls Brewing,Niagara Falls,Old Jack,?,?,?,british_ale|old_ale
Niagara Falls Brewing,Niagara Falls,Premium Light,?,?,?,north_american_ale|american_style_pale_ale
Niagara Falls Brewing,Niagara Falls,Saaz Pilsner,?,?,?,?
Niagara Falls Brewing,Niagara Falls,Weisse Beer,?,?,?,north_american_lager|american_style_lager
Scotch Irish Brewing,Carleton Place,Black Irish Plain Porter,?,?,?,irish_ale|porter
Sleeman Brewing & Malting,Guelph,Original Dark,?,?,?,north_american_lager|american_style_lager
Sleeman Brewing & Malting,Guelph,Sapporo Premium Beer,?,?,?,north_american_lager|american_style_lager
Steam Whistle Brewery,Toronto,Steamwhistle Lager,5%,?,?,north_american_lager|american_style_lager
