Name,Address,City,State,Code,Website,Tags
5 Paddles Brewing,?,Whitby,ON,?,5paddlesbrewing.com,brewery
Amsterdam BrewHouse,?,Toronto,ON,?,www.amsterdambrewhouse.com,brewpub
Amsterdam Brewery,?,Toronto,ON,?,amsterdambeer.com,brewery
Barley Days Brewery,?,Picton,ON,?,www.barleydaysbrewery.com,brewery
Barnstormer Brewing,?,Barrie,ON,?,www.barnstormerbrewing.com,brewpub
Beau's All Natural Brewing Co.,?,Vankleek Hill,ON,?,www.beaus.ca,brewery
Beer Academy,?,Toronto,ON,?,beeracademy.ca,training_brewery
Bell City Brewing,?,Brantford,ON,?,bellcitybrewing.com,brewery
Bellwoods Brewery,?,Toronto,ON,?,bellwoodsbrewery.com,brewpub
Beyond the Pale Brewing,?,Ottawa,ON,?,beyondthepale.ca,brewery
Big Rig Brewery,?,Ottawa,ON,?,bigrigbrew.com,brewery
Black Creek Historic Brewery,Black Creek Pioneer Village | 1000 Murray Ross Parkway,Toronto,ON,M3J 2P3,?,?
Black Creek Historic Brewery,?,Toronto,ON,?,www.blackcreekbrewery.ca,brewpub
Black Oak Brewing Co.,?,Etobicoke,ON,?,blackoakbeer.com,brewery
Block Three Brewing,?,St Jacobs,ON,?,www.blockthreebrewing.com,brewery
Boshkung Brewing,?,Carnarvon,ON,?,rhubarbhaliburton.com/Rhubarb/Rhubarb.html,brewpub
Brick Brewing,1 Old Brewery Lane,Formosa,ON,0,?,?
Brick Brewing Co.,?,Waterloo,ON,?,brickbeer.com,brewery
Brimstone Brewing Company,?,Ridgeway,ON,?,www.brimstonebrewing.ca,brewpub
Broadhead Brewing Co.,?,Nepean,ON,?,broadheadbeer.com,brewery
Cameron's Brewing,1165 Invicta Drive,Oakville,ON,0,?,?
Cameron's Brewing Company,?,Oakville,ON,?,www.cameronsbrewing.com,brewery
Cassel Brewery,?,Casselman,ON,?,www.casselbrewery.ca,brewery
Cheshire Valley Brewing Company,?,Etobicoke,ON,?,www.cheshirevalleybrewing.com,brewery
Church Key Brewing,?,Trent Hills,ON,?,www.churchkeybrewing.com,brewery
