Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasal-Brasserie Allemande,LaSalle,Special Amber Lager,?,?,?,north_american_lager|american_style_lager
Brasserie McAuslan,Montreal,Griffon Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Brasserie McAuslan,Montreal,St-Ambroise Apricot Wheat Ale,5%,?,?,other_style|light_american_wheat_ale_or_lager
Brasserie McAuslan,Montreal,St-Ambroise Oatmeal Stout,5%,?,?,british_ale|oatmeal_stout
Brasserie McAuslan,Montreal,St-Ambroise Pale Ale,5%,?,?,?
Dieu du Ciel,MontrÃ©al,PÃ©chÃ© Mortel,?,?,?,?
Le Cheval Blanc,Montreal,Apocalypse Buckwheat Ale / Coup de Grisou,?,?,?,?
Unibroue,Chambly,11,11%,?,?,north_american_ale|american_style_pale_ale
Unibroue,Chambly,15,10%,?,?,?
Unibroue,Chambly,16,10%,?,?,?
Unibroue,Chambly,1837,7%,?,?,belgian_and_french_ale|other_belgian_style_ales
Unibroue,Chambly,Blanche de Chambly,5%,?,?,belgian_and_french_ale|belgian_style_white
Unibroue,Chambly,Chambly Noire,6.2%,?,?,north_american_ale|dark_american_belgo_style_ale
Unibroue,Chambly,Don De Dieu,9%,?,?,belgian_and_french_ale|belgian_style_tripel
Unibroue,Chambly,La Fin Du Monde,9%,?,?,belgian_and_french_ale|belgian_style_tripel
Unibroue,Chambly,Maudite,8%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Unibroue,Chambly,Quelque Chose,8%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Unibroue,Chambly,Raftman,5.5%,?,?,north_american_ale|american_style_amber_red_ale
Unibroue,Chambly,Seigneuriale,7.5%,?,?,north_american_ale|american_style_amber_red_ale
Unibroue,Chambly,Terrible,10.5%,?,?,belgian_and_french_ale|other_belgian_style_ales
Unibroue,Chambly,Trois Pistoles,9%,?,?,north_american_ale|dark_american_belgo_style_ale
Unibroue,Chambly,Ã‰dition 2005,?,?,?,?
Unibroue,Chambly,Ã‰phÃ©mÃ¨re Pomme,5.5%,?,?,belgian_and_french_ale|belgian_style_white
