Name,Address,City,State,Code,Website,Tags
Archibald Microbrasserie,?,Québec,QC,?,www.archibaldmicrobrasserie.ca,brewery
Bar Centre Ale Artisan Brasseur,?,Drummondville,QC,?,?,brewpub
Bedondaine & Bedons Ronds,?,Chambly,QC,?,www.bedondaine.com,brewpub
Belghe Brasse,?,Amos,QC,?,www.monsbeer.com,brewery
Boquébière,?,Sherbrook,QC,?,boquebiere.com,brewpub
Brasal-Brasserie Allemande,?,LaSalle,QC,,?,?
Brasserie Artisinale Albion,?,Joliette,QC,?,www.brasseriealbion.com,brewery
Brasserie Artisinale Le Bien | le Malt,?,Rimouski,QC,?,lebienlemalt.com,brewery
Brasserie Benelux,?,Montréal,QC,?,www.brasseriebenelux.com,brewpub
Brasserie Dunham,?,Dunham,QC,?,www.brasseriedunham.com,brewery
Brasserie McAuslan,5080 Rue St-Ambroise,Montreal,QC,H4C 2G,?,?
Brasserie McAuslan,?,Montréal,QC,?,mcauslan.com,brewery
Brasserie Réservoir,?,Montréal,QC,?,www.brasseriereservoir.ca,brewpub
Brasserie du Vieux Montréal,?,Montréal,QC,?,bvmbrewery.com/fr,brewery
Brasserie le Lion d'Or,?,Lennoxville,QC,?,www.lionlennoxville.com,brewpub
Brasserie-Saint-Antoine-Abbé,?,Franklin,QC,?,www.brasserie-saint-antoine-abbe.com,brewery
Brasseur de Montreal,?,Montréal,QC,?,www.brasseurdemontreal.ca,brewpub
Brasseurs Illimités,?,Saint-Eustache,QC,?,www.brasseursillimites.com,brewpub
Brasseurs du Monde,?,Saint-Hyacinthe,QC,?,brasseursdumonde.com,brewery
Brasseurs sans Gluten,?,Montréal,QC,?,glutenberg.ca,brewery
Breughel à Kamouraska,?,Kamouraska,QC,?,www.breughel.com,brewery
Broue Pub Brouhaha,?,Montréal,QC,?,brouepubbrouhaha.com,brewpub
Brutopia,?,Montréal,QC,?,www.brutopia.net,brewpub
Dieu du Ciel,29 Laurier Ouest,MontrÃ©al,QC,,?,?
Dieu du Ciel,?,Montréal,QC,?,dieuduciel.com,brewpub
Dieu du Ciel,?,Saint-Jérôme,QC,?,dieuduciel.com,brewery
Ferme Brasserie Schoune,?,St.Polycarpe,QC,?,www.schoune.com,brewery
Frampton Brasse,?,Frampton,QC,?,www.framptonbrasse.com,brewery
Gainsbourg Bistro-Brasserie,?,Gatineau,QC,?,www.gainsbourg.ca,brewpub
Gambrinus Brasserie Artisanale,?,Trois-Rivières,QC,?,www.gambrinus.qc.ca,brewpub
Helm Brasseur Gourmand,?,Montréal,QC,?,helmmicrobrasserie.ca,brewpub
Hopfenstark,?,l'Assomption,QC,?,www.hopfenstark.com,brewery
L'Amère à Boire,?,Montréal,QC,?,www.amereaboire.com,brewpub
L'Espace Public,?,Montréal,QC,?,www.lespacepublic.ca,brewery
L'Inox,?,Québec,QC,?,www.inox.qc.ca,brewpub
La Barberie,?,Québec,QC,?,www.labarberie.com,brewpub
La Compagnie de Bière Brisset,?,Montréal,QC,?,bierebrisset.com,brewery
La Gueule de Bois,?,Jonquière,QC,?,www.lagueuledebois.net,brewpub
La Mare du Diable,?,Sherbrooke,QC,?,?,brewpub
La Memphré Microbrasserie,?,Magog,QC,?,www.lamic.ca,brewpub
La Société Microbrasserie,?,Saint Georges de Beauce,QC,?,societemicrobrasserie.com,brewpub
La Souche Brasserie Artisinale,?,Québec,QC,?,www.lasouche.ca,brewpub
La Succursale,?,Montréal,QC,?,lasuccursale.com,brewpub
La Tour à Bières Microbrasserie,?,Chicoutimi,QC,?,www.latourabieres.com,brewpub
La Voie Maltée,?,Chicoutimi,QC,?,www.lavoiemaltee.com,brewpub
Lagabière,?,Saint-Jean-sur-Richelieu,QC,?,lagabiere.com,brewpub
Le Baril Roulant,?,Val-David,QC,?,barilroulant.wordpress.com,brewpub
Le Cheval Blanc,809 Rue Ontario Est,Montreal,QC,0,?,?
Le Corsaire,?,Lévis,QC,?,www.corsairemicro.com,brewpub
Le Grimoire,?,Granby,QC,?,www.brasseriegrimoire.com,brewery
Le Saint Graal (Brasserie Artisinale),?,Sainte-Thérèse,QC,?,www.saintgraal.ca,brewpub
Le Trou du Diable,?,Shawnigan,QC,?,www.troududiable.com,brewpub
Les Brasseurs RJ,?,Montréal,QC,?,www.brasseursrj.com,brewery
Les Brasseurs du Hameau,?,Saint-Joseph-de-Ham-Sud,QC,?,lesbrasseursduhameau.ca,brewery
Les Brasseurs du Nord,?,Blainville,QC,?,www.boreale.com,brewery
Les Brasseurs du Temps,?,Gatineau,QC,?,www.brasseursdutemps.com,brewery
Les Frères Houblon Microbrasserie,?,Trois-Rivières,QC,?,www.lesfrereshoublon.com,brewpub
Les Trois Mousquetaires,?,Brossard,QC,?,lestroismousquetaires.ca,brewery
Loup Rouge,?,Sorel,QC,?,www.artisanbrasseur.com,brewpub
Micro-Brasserie Le Naufrageur,?,Carleton,QC,?,www.lenaufrageur.com,brewery
Micro-Brasserie l'Alchimiste,?,Joliette,QC,?,lalchimiste.ca,brewery
Micro-Brasserie le Brouemont,?,Bromont,QC,?,www.brouemont.com,brewpub
Microbrasserie Charlevoix,?,Baie-Saint-Paul,QC,?,www.microbrasserie.com,brewery
Microbrasserie Coaticook,?,Coaticook,QC,?,?,brewery
Microbrasserie Goudale,?,Boisbriand,QC,?,?,brewpub
Microbrasserie La Captive,?,Amqui,QC,?,www.lacaptive.ca,brewpub
Microbrasserie La Chouape,?,Saint-Félicien,QC,?,www.lachouape.com,brewpub
Microbrasserie Le Bilboquet,?,Saint-Hyacinthe,QC,?,www.lebilboquet.qc.ca,brewpub
