Name,Address,City,State,Code,Website,Tags
Acadie-Broue,?,Moncton,NB,?,?,nanobrewery
Big Tide Brewing,?,Saint John,NB,?,www.bigtidebrew.com,brewpub
Celtic Knot Brewing,?,Riverview,NB,?,?,nanobrewery
Grimross Brewing Co.,?,Fredricton,NB,?,grimross.com,brewery
Hammond River Brewing,?,Quispamsis,NB,?,www.facebook.com/hammondriverbrewery,nanobrewery
Moosehead Breweries,89 Main Street West,Saint John,NB,0,?,?
Moosehead Breweries Ltd.,89 Main Street | PO Box 3100 | Station B,Saint John,NB,,?,?
Picaroons Traditional Ales,?,Fredericton,NB,?,www.picaroons.ca,brewery
Pumphouse Brewery,?,Moncton,NB,?,www.pumphousebrewery.ca,brewery
Shiretown Beer,?,Dalhousie,NB,?,www.shiretownbeer.com,brewpub
