Name,Address,City,State,Code,Website
Australian Brewing Corporation,229-255 Old Melbourne Road,Little River,Victoria,3211,?
Carlton and United Breweries,77 Southbank Boulevard,Melbourne,Victoria,?,?
Coopers Brewery,461 South Road,Regency Park,South Australia,?,?
Foster's Australia Ltd.,?,?,?,?,?
Gold Coast Brewery,?,Sanctuary Cove,Queensland,?,?
Lion Nathan Australia  Hunter Street,Level 15 | 20 Hunter Street,Sydney,New South Wales,?,?
Little Creatures Brewery,40 Mews Road,Fremantle,WA,6160,?
Malt Shovel Brewery,99 Pyrmont Bridge Road,Camperdown,New South Wales,?,?
Matilda Bay Brewing,130 Stirling Highway,North Fremantle,Western Australia,?,?
Scharer's Little Brewery,180 Old Hume Hwy,Picton,NSW,2571,?
South Australian Brewing,107 Port Road,Adelaide,South Australia,?,?
Swan Brewery,25 Baile Road,Canning Vale,Western Australia,?,?
Tooheys,29 Nyrang Street,Sydney,New South Wales,?,?
Tooth's,?,Sydney,New South Wales,?,?
