Brewery,City,Name,Abv,Ibu,Srm,Tags
Dux de Lux,Queenstown,Ginger Tom,4%,?,?,other_style|herb_and_spice_beer
Emerson Brewing,Dunedin,Old 95,7%,?,?,british_ale|old_ale
Emerson Brewing,Dunedin,Taieri George,6.8%,?,?,?
Epic Brewing Company,Auckland,Epic Pale Ale,5.4%,?,?,north_american_ale|american_style_pale_ale
Limburg Beer Company,Hawkes Bay,Witbier,5%,?,?,?
McCashin's Brewery & Malthouse,Nelson,Malt Mac Winter Ale,?,?,?,?
Monteith's Brewing Co.,Greymouth,Monteith's Celtic Beer,4.4%,?,?,irish_ale|irish_style_red_ale
Monteith's Brewing Co.,Greymouth,Monteith's Summer Ale,5%,?,?,other_style|herb_and_spice_beer
Mussel Inn,Takaka,Strong Ox,?,?,?,?
New Zealand Breweries Limited,?,Speight's Gold Medal Ale,4%,?,?,british_ale|classic_english_style_pale_ale
Tui Brewery,Mangatainoka,East India Pale Ale,4%,?,?,north_american_ale|american_style_pale_ale
