Brewery,City,Name,Abv,Ibu,Srm,Tags
Asahi Breweries,Tokyo,Asahi Super Dry,?,?,?,north_american_lager|american_style_lager
Asahi Breweries,Tokyo,Edomae,?,?,?,?
Asahi Breweries,Tokyo,Kuronama,?,?,?,irish_ale|porter
Brauhaus Onuma,Onuma,Kolsch,?,?,?,?
Hida Takayama Brewing Agricultural Company,Takayama,Weizen,?,?,?,german_ale|south_german_style_hefeweizen
Keihan Uji Kotsu,Uji,Busby Stout,?,?,?,north_american_ale|american_style_stout
Kirin Brewery Company | Ltd,?,Kirin Ichiban,4.95%,?,?,?
Kirin Brewery Company | Ltd,?,Kirin Light,3.31%,?,?,north_american_lager|american_style_light_lager
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Beer,?,?,?,german_ale|south_german_style_hefeweizen
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Celebration Ale 2006,9%,?,?,?
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Espresso Stout,7.5%,?,?,?
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Japanese Classic Ale,7%,?,?,british_ale|english_style_india_pale_ale
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Real Ginger Brew,7%,?,?,?
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest Sweet Stout,3.5%,?,?,north_american_ale|american_style_stout
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest White Ale,?,?,?,?
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Hitachino Nest XH,8%,?,?,north_american_ale|american_style_strong_pale_ale
Nikenjayamochi Kadoya Honten Co.,?,Ise Kadoya Stout,5%,?,?,north_american_ale|american_style_stout
Pokka Beer Works,Nagoya,Beer Works Ale Golden,?,?,?,?
Sapporo Breweries - Chuo,Tokyo,Draft,?,?,?,north_american_lager|american_style_lager
Sapporo Breweries - Chuo,Tokyo,Imported Black Stout Draft,?,?,?,german_lager|german_style_schwarzbier
Uehara Shuzou Co. Ltd. / Echigo Beer Pub,?,Koshihikari Echigo Beer,5%,?,?,other_style|out_of_category
