Brewery,City,Name,Abv,Ibu,Srm,Tags
Brasserie Bnifontaine,Bnifontaine,Castelain Blond Biere de Garde,5.6%,?,?,?
Brasserie Bnifontaine,Bnifontaine,Castelain St.Amand French Country Ale,5.9%,?,?,?
Brasserie Bnifontaine,Bnifontaine,Jade,4.5%,?,?,?
Brasserie De Saint Sylvestre,St-Sylvestre-Cappel,3 Monts,8.5%,?,?,?
Brasserie De Saint Sylvestre,St-Sylvestre-Cappel,Gavroche French Red Ale,8.5%,?,?,?
Brasserie Duyck,Jenlain,BiÃ¨re de NoÃ«l,?,?,?,?
Brasserie Duyck,Jenlain,Jenlain Blonde,7.5%,?,?,?
Brasserie Duyck,Jenlain,Jenlain St Druon de Sebourg,6%,?,?,?
Brasserie Grain D'Orge,Ronchin,Belzebuth,13%,?,?,north_american_ale|golden_or_blonde_ale
Brasserie La Choulette,Hordain,Blonde,7.5%,?,?,?
Brasserie La Choulette,Hordain,Framboise,6%,?,?,?
Brasserie La Choulette,Hordain,Les Sans Culottes,7%,?,?,?
Brasserie Pietra,Furiani,AmbrÃ©e / Chestnut Beer,?,?,?,?
Brasserie Thiriez,Esquelbecq,XTra,4.5%,?,?,?
Brasserie des Cimes,Aix les Bains,Yeti,8%,?,?,?
Brasserie des Vosges,Dommartin les Remiremont,BÃªte des Vosges,?,?,?,british_ale|old_ale
Brasserie du Bouffay,Carquefou,Ambr,?,?,?,other_style|out_of_category
Brasseries Kronenbourg,Strasbourg,1664,?,?,?,?
