Name,Address,City,State,Code,Website,Tags
Belhaven Brewery,Spott Road,East Lothian,?,,?,?
Broughton Ales,Broughton,The Borders,?,,?,?
Caledonian Brewing,42 Slateford Road,Edinburgh,?,,?,?
Harviestoun Brewery,Hillfoots Business Village,Alva,?,,?,?
Inveralmond Brewery,Inveralmond Way,Perth,?,,?,?
Isle of Skye Brewing Company,The Pier,Isle of Skye,?,,?,?
Maclay and Co.,?,Clackmannan,?,,?,?
Orkney Brewery,Quoyloo,Orkney,?,,?,?
Scottish & Newcastle PLC,33 Ellersly Road,Edinburgh,?,,?,?
Tennent Caledonian Brewery,161 Duke Street,Glasgow,?,,?,?
Traquair House Brewery,Innerleithen EH44 6PW,Innerleithen,?,,?,?
Williams Brothers Brewing Company,New Alloa Brewery,Alloa,?,,?,?
