Brewery,City,Name,Abv,Ibu,Srm,Tags
Big Ridge Brewing,Surrey,#17 Cream Ale,?,?,?,north_american_lager|american_style_lager
Big Ridge Brewing,Surrey,Brotherhood Black & Tan,?,?,?,north_american_ale|american_style_brown_ale
Big Ridge Brewing,Surrey,Clover Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Big Ridge Brewing,Surrey,Lager,?,?,?,north_american_lager|american_style_lager
Big Ridge Brewing,Surrey,Light Lager,?,?,?,north_american_lager|american_style_lager
Big Ridge Brewing,Surrey,Old Sullivan Porter,?,?,?,irish_ale|porter
Big Ridge Brewing,Surrey,Red Truck Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Big River Brewing,Richmond,Blonde Ale,?,?,?,?
Big River Brewing,Richmond,Dry Stout,?,?,?,north_american_ale|american_style_stout
Big River Brewing,Richmond,Extra Special Bitter,?,?,?,?
Big River Brewing,Richmond,Nut Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Big River Brewing,Richmond,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Big River Brewing,Richmond,Pilsner,?,?,?,?
Big River Brewing,Richmond,Vienna Lager,?,?,?,north_american_lager|american_style_lager
Central City Brewing Company,Surrey,Boomers Red Ale,?,?,?,?
Central City Brewing Company,Surrey,Iceberg Copper Bock,?,?,?,german_lager|traditional_german_style_bock
Central City Brewing Company,Surrey,Red Racer India Pale Ale,6.5%,?,?,north_american_ale|american_style_india_pale_ale
Central City Brewing Company,Surrey,Springboard Lager,?,?,?,north_american_lager|american_style_lager
Central City Brewing Company,Surrey,Steelhead Stout,?,?,?,north_american_ale|american_style_stout
Dix Barbecue & Brewery,Vancouver,Game Day,?,?,?,?
Dix Barbecue & Brewery,Vancouver,Honey Brown,?,?,?,north_american_lager|american_style_lager
Dix Barbecue & Brewery,Vancouver,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Dix Barbecue & Brewery,Vancouver,Red Truck Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Dix Barbecue & Brewery,Vancouver,Red Truck Lager,?,?,?,?
Dix Barbecue & Brewery,Vancouver,Tropical Lager,?,?,?,north_american_lager|american_style_lager
Dockside Brewing,Vancouver,Cartwright Pale Ale,4.3%,?,?,north_american_ale|american_style_pale_ale
Dockside Brewing,Vancouver,Haupenthal Hefeweizen,4.8%,?,?,german_ale|south_german_style_hefeweizen
Dockside Brewing,Vancouver,Johnston Pilsener,4.9%,?,?,?
Dockside Brewing,Vancouver,Marina Light Lager,4.7%,?,?,?
Dockside Brewing,Vancouver,Old Bridge Dark Lager,5.3%,?,?,north_american_lager|american_style_lager
Dockside Brewing,Vancouver,Pelican Bay Brown,?,?,?,north_american_ale|american_style_brown_ale
Granville Island Brewing,Kelowna,Brockton Black Lager,6.5%,?,?,german_lager|german_style_schwarzbier
Granville Island Brewing Company,Vancouver,Cypress Honey Lager,4.7%,?,?,north_american_lager|american_style_lager
Granville Island Brewing Company,Vancouver,English Bay Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Granville Island Brewing Company,Vancouver,Hefeweizen,?,?,?,german_ale|south_german_style_hefeweizen
Granville Island Brewing Company,Vancouver,Island Lager,5%,?,?,north_american_lager|american_style_lager
Granville Island Brewing Company,Vancouver,Kitsilano Maple Cream Ale,5%,?,?,north_american_lager|american_style_lager
Lighthouse Brewing,Victoria,Beacon India Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Marine Pub & Brewhouse,Burnaby,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Marine Pub & Brewhouse,Burnaby,Premium Gold,?,?,?,north_american_lager|american_style_lager
Mission Springs Brewing,Mission,Blonde Draft,4.8%,?,?,?
Mission Springs Brewing,Mission,Cream Ale,4.8%,?,?,north_american_lager|american_style_lager
