Name,Address,City,State,Code,Website,Tags
33 Acres Brewing Company,?,Vancouver,BC,?,www.33acresbrewing.com,brewery
Arrowhead Brewing Company,?,Invermere,BC,?,arrowheadbrewingcompany.ca,brewery
Bad Tattoo Brewing,?,Penticton,BC,?,www.badtattoobrewing.com,brewpub
Barkerville Brewing,?,Quesnel,BC,?,www.stakeyourclaim.ca,brewery
Barley Mill Brewpub,?,Penticton,BC,?,www.barleymillpub.com,brewpub
Barley Station Brewpub,?,Salmon Arm,BC,?,www.barleystation.com,brewpub
Beacon Brewing,?,Nelson,BC,?,www.beaconbrewing.com,nanobrewery
Big Ridge Brewing,15133 Highway 10,Surrey,BC,0,?,?
Big Ridge Brewing Co.,?,Surrey,BC,?,www.markjamesgroup.com/bigridge.html,brewpub
Big River Brewing,180 - 14200 Entertainment Boulevard,Richmond,BC,0,?,?
Big River Brewpub & Restaurant,?,Richmond,BC,?,www.zbowl.com/Richmond_BR/BrewStory.html,brewpub
Big Surf Beer Company,?,Kelowna,BC,?,bigsurfbeer.com,brewery
Black Kettle Brewing,?,North Vancouver,BC,?,blackkettlebrewing.com,brewery
Bomber Brewing,?,Vancouver,BC,?,www.bomberbrewing.com,brewery
Brassneck Brewery,?,Vancouver,BC,?,brassneck.ca,brewery
Brewhouse High Mountain Brewing Co.,?,Whistler,BC,?,www.markjamesgroup.com/brewhouse.html,brewpub
Bridge Brewing,?,North Vancouver,BC,?,bridgebrewing.com,brewery
Cannery Brewing,?,Penticton,BC,?,www.cannerybrewing.com,brewery
Canoe Brewpub,?,Victoria,BC,?,www.canoebrewpub.com,brewpub
Canuck Empire Brewing,?,Abbotsford,BC,?,www.canuckempirebrewing.com,contract_brewer
Central City Brewers & Distillers,?,Surrey,BC,?,centralcitybrewing.com,brewpub
Central City Brewing Company,13450 - 102 Avenue,Surrey,BC,,?,?
Central City Brewpub,?,Surrey,BC,?,centralcitybrewing.com,brewpub
Coal Harbour Brewing Co.,?,Vancouver,BC,?,www.coalharbourbrewing.com,brewery
Craig Street Brewpub,?,Duncan,BC,?,craigstreet.ca,brewpub
Crannog Ales,?,Sorrento,BC,?,www.crannogales.com,brewery
Dageraad Brewing,?,Burnaby,BC,?,dageraadbrewing.com,brewery
Dead Frog Brewery,?,Langley,BC,?,www.deadfrog.ca,brewery
Deep Cove Brewing,?,North Vancouver,BC,?,www.deepcovecraft.com,brewery
Dix Barbecue & Brewery,871 Beatty Street,Vancouver,BC,0,?,?
Dockside Brewing,1253 Johnston Street,Vancouver,BC,0,?,?
Dockside Brewing Co.,?,Vancouver,BC,?,www.docksidevancouver.com/brewery,brewpub
Driftwood Brewing Company,?,Victoria,BC,?,driftwoodbeer.com,brewery
Fernie Brewing Co.,?,Fernie,BC,?,www.ferniebrewing.com,brewery
Firehall Brewery,?,Oliver,BC,?,www.firehallbrewery.com,brewery
Fisher Peak Brewing Co.,?,Cranbrook,BC,?,?,brewpub
Four Mile Brewpub,?,Victoria,BC,?,fourmilehouse.com,brewpub
Four Winds Brewing Co.,?,Delta,BC,?,www.fourwindsbrewing.ca,brewery
Freddy's Brewpub,?,Kelowna,BC,?,www.mccurdybowl.com/wp,brewpub
Granville Island Brewing,1125 Richter Street,Kelowna,BC,,?,?
Granville Island Brewing,?,Vancouver,BC,?,gib.ca,brewery
Granville Island Brewing Company,1441 Cartwright Street,Vancouver,BC,0,?,?
Green Leaf Brewing,?,North Vancouver,BC,?,greenleafbrew.com,brewery
Gulf Islands Brewery,?,Saltspring,BC,?,www.gulfislandsbrewery.com,brewery
Howe Sound Brewing Co.,?,Squamish,BC,?,www.howesound.com/home.aspx,brewpub
Hoyne Brewing Company,?,Victoria,BC,?,hoynebrewing.ca,brewery
Lighthouse Brewing,2 - 836 Devonshire Road,Victoria,BC,0,?,?
Lighthouse Brewing Co.,?,Esquimalt,BC,?,www.lighthousebrewing.com,brewery
Longwood Brewpub,?,Nanaimo,BC,?,www.longwoodbrewpub.com,brewpub
Main St. Brewery,?,Vancouver,BC,?,mainstreetbeer.ca,brewery
Marine Pub & Brewhouse,5820 Marine Drive,Burnaby,BC,0,?,?
Mission Springs Brewing,7160 Oliver Street,Mission,BC,0,?,?
Mission Springs Brewing Co.,?,Mission,BC,?,www.missionspringsbrewingcompany.com,brewpub
Moon Under Water Brewpub,?,Victoria,BC,?,www.moonunderwater.ca,brewpub
Mozart Brewing,?,Kimberley,BC,?,mozzartinn.weebly.com,brewpub
Mt. Begbie Brewing,?,Revelstoke,BC,?,www.mt-begbie.com,brewery
Nelson Brewing,512 Latimer Street,Nelson,BC,0,?,?
Nelson Brewing,?,Nelson,BC,?,nelsonbrewing.com,brewery
Northam Brewery,?,Kamloops,BC,?,www.bowenislandbeer.com,brewery
Okanagan Spring,?,Vernon,BC,?,www.okspring.com,brewery
Okanagan Spring Brewery,2801 - 27A Avenue,Vernon,BC,0,?,?
Old Yale Brewing Co.,?,Chilliwack,BC,?,www.oldyalebrewing.com,brewery
Parallel 49 Brewing Co.,?,Vancouver,BC,?,parallel49brewing.com,brewery
Pat's Pub & Brewhouse,?,Vancouver,BC,?,www.patspub.ca,brewpub
Persephone Brewing,?,Gibsons,BC,?,persephonebrewing.com,brewery
Phillips Brewing Co.,?,Victoria,BC,?,phillipsbeer.com,brewery
Postmark Brewing,?,Vancouver,BC,?,?,brewery
Powell St. Craft Brewery,?,Vancouver,BC,?,www.powellbeer.com,nanobrewery
R&B Brewing Inc.,?,Vancouver,BC,?,www.r-and-b.com,brewery
R&B; Brewing,54 East Fourth Avenue,Vancouver,BC,0,?,?
Ridge Brewing Co.,?,Osoyoos,BC,?,www.westridgeinn.com/index.php/restaurant/brewery,brewpub
Russell Brewing,202 - 13018 80th Avenue,Surrey,BC,0,?,?
Russell Brewing Co.,?,Surrey,BC,?,www.russellbeer.com,brewery
Shaftebury Brewing,?,Delta,BC,,?,?
Spinnakers Gastro Brewpub,?,Victoria,BC,?,www.spinnakers.com,brewpub
Steamworks,375 Water Street,Vancouver,BC,V6B 5C6,?,?
Steamworks Brewery,?,Burnaby,BC,?,steamworks.com/brewery,brewery
Steamworks Brewpub,?,Vancouver,BC,?,steamworks.com/brew-pub,brewpub
Steel & Oak Brewing,?,New Westminster,BC,?,steelandoak.ca,brewery
Storm Brewing,310 Commercial Drive,Vancouver,BC,V5L 3V6,?,?
Storm Brewing,?,Vancouver,BC,?,www.stormbrewing.org,brewery
Surlie Brewing,?,Abbotsford,BC,?,?,brewery
Swans Brewpub,?,Victoria,BC,?,swanshotel.com/brew-pub/brew-pub-home,brewpub
Taylor's Crossing Brewing,1025 Marine Drive,North Vancouver,BC,0,?,?
The Noble Pig Brewhouse & Restaurant,?,Kamloops,BC,?,thenoblepig.ca,brewpub
Three Ranges Brewing Co.,?,Valemount,BC,?,threeranges.com,nanobrewery
Tin Whistle Brewing,954 West Eckhardt Avenue,Penticton,BC,0,?,?
Tin Whistle Brewing Co.,?,Penticton,BC,?,?,brewery
Tofino Brewing Company,?,Tofino,BC,?,www.tofinobrewingco.com,brewery
Townsite Brewing,?,Powell River,BC,?,townsitebrewing.com,brewery
Tree Brewing,?,Kelowna,BC,?,www.treebeer.com,brewery
Vancouver Island Brewery,?,Victoria,BC,?,www.vanislandbrewery.com,brewery
Vancouver Island Brewing,2330 Government Street,Victoria,BC,0,?,?
Wheelhouse Brewing,?,Prince Rupert,BC,?,www.wheelhousebrewing.com,brewery
Whistler Brewing Company,?,Whistler,BC,?,www.whistlerbeer.com,brewery
Wolf Brewing Co.,?,Nanaimo,BC,?,www.wolfbrewingcompany.com,brewery
Yaletown Brewing,1111 Mainland Street,Vancouver,BC,0,?,?
Yaletown Brewing Company,?,Vancouver,BC,?,www.markjamesgroup.com/yaletown.html,brewpub
