Name,Address,City,State,Code,Website,Tags
Alley Kat Brewing Company,?,Edmonton,AB,?,www.alleykatbeer.com,brewery
Banff Ave. Brewing Co.,?,Banff,AB,?,www.banffavebrewingco.ca,brewpub
Beer Revolution,?,Calgary,AB,?,beerrevolution.ca,brewpub_chain
Beer Revolution,?,Edmonton,AB,?,beerrevolution.ca,brewpub_chain
Big Rock Brewery,5555 76th Avenue SE,Calgary,AB,0,?,?
Big Rock Brewery,?,Calgary,AB,?,www.bigrockbeer.com,brewery
Brew Brothers Brewery,?,Calgary,AB,?,www.brewbrothers.com,nanobrewery
Brewsters Brewing Co. & Restaurant,?,Airdrie,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Calgary,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Calgary,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Calgary,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Calgary,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Calgary,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Edmonton,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Edmonton,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Edmonton,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Edmonton,AB,?,brewsters.ca,brewpub_chain
Brewsters Brewing Co. & Restaurant,?,Edmonton,AB,?,brewsters.ca,brewpub_chain
Grizzly Paw Brewing,?,Canmore,AB,?,www.thegrizzlypaw.com,brewpub
Hog's Head Brewing Company,?,St. Albert,AB,?,www.hogsheadbrewing.ca,brewery
Jasper Brewing Co.,?,Jasper,AB,?,www.jasperbrewingco.ca,brewpub
Minhas Microbrewery,?,Calgary,AB,?,minhasbrewery.com,brewpub
Norsemen Brewing Co.,?,Camrose,AB,?,www.norsemeninn.com/norsemen-brewing-company,brewpub
Ribstone Creek Brewery,?,Edgerton,AB,?,www.ribstonecreekbrewery.ca,brewery
Toolshed Brewing,?,Calgary,AB,?,toolshedbrewing.com,contract_brewer
Village Brewery,?,Calgary,AB,?,www.villagebrewery.com,brewery
Wild Rose Brewery,?,Calgary,AB,?,www.wildrosebrewery.com,brewpub
Wood Buffalo Brewing Co.,?,Fort McMurray,AB,?,www.woodbuffalobrewingco.ca,brewpub
Wyder's Cider,255999 Eighth Street SW,Calgary,AB,0,?,?
Yellowhead Brewery,?,Edmonton,AB,?,www.yellowheadbrewery.com,brewery
