Name,Address,City,State,Code,Website,Tags
Bad Apple Brewhouse,?,Berwick,NS,?,badapplebrewhouse.ca,brewery
Big Spruce Brewing,?,Nyanza,NS,?,www.bigspruce.ca,brewery
Boxing Rock Brewing Co.,?,Shelburne,NS,?,boxingrock.ca,brewery
Bridge Brewing Co.,?,Halifax,NS,?,bridgebeer.ca,brewery
Garrison Brewing Co.,?,Halifax,NS,?,www.garrisonbrewing.com,brewery
Granite Brewery,?,Halifax,NS,?,www.granitebreweryhalifax.ca,brewery
Hell Bay Brewing Co.,?,Liverpool,NS,?,www.hellbaybrewing.com,brewery
Labatt / Keith's Brewery / Oland Breweries,3055 Agricola Street,Halifax,NS,0,?,?
Paddy's Brewpub,?,Wolfville,NS,?,www.paddyspub.ca,brewpub
Propeller Brewing,?,Halifax,NS,?,www.drinkpropeller.ca,brewery
Rare Bird Pub & Eatery,?,Guysborough,NS,?,www.rarebirdpub.com,brewpub
Rockbottom Brew Pub,?,Halifax,NS,?,rockbottombrewpub.ca,brewpub
Rogues Roost Brew Pub,?,Halifax,NS,?,www.roguesroost.ca,brewpub
Rudders Restaurant & Brew Pub,?,Yarmouth,NS,?,www.ruddersbrewpub.com,brewpub
The Port Pub,?,Port Williams,NS,?,www.theportpub.com,brewpub
Uncle Leo's Brewery,?,Pictou,NS,?,uncleleosbrewery.ca,brewery
