Brewery,City,Name,Abv,Ibu,Srm,Tags
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Bohemia ClÃ¡sica,?,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Carta Blanca,?,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Cerveza Sol,4.5%,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Dos Equis Amber Lager,?,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Dos Equis Special Lager,?,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Noche Buena Special Holiday Amber Beer,?,?,?,north_american_lager|american_style_lager
Cervecera Cuauhtmoc-Moctezuma,Monterrey,Tecate,?,?,?,north_american_lager|american_style_lager
Cucapa Brewing Company,Mexicali,Cucapa Honey Ale,4.5%,?,?,north_american_ale|american_style_amber_red_ale
Grupo Modelo,Mexico City,Corona Extra,4.6%,?,?,north_american_lager|american_style_lager
Grupo Modelo,Mexico City,Corona Light,4.1%,?,?,north_american_lager|american_style_light_lager
Grupo Modelo,Mexico City,Modelo especial,?,?,?,north_american_lager|american_style_light_lager
Grupo Modelo,Mexico City,Negra Modelo,6%,?,?,north_american_lager|american_style_lager
Grupo Modelo,Mexico City,PacÃ­fico Clara,4.5%,?,?,north_american_lager|american_style_lager
